ir,red
118287,101580
118282,101593
118271,101605
118291,101572
118367,101609
118417,101639
118443,101672
118464,101686
118463,101652
118519,101677
118639,101731
118625,101770
118661,101741
118665,101727
118699,101750
118747,101777
118808,101799
118799,101808
118795,101772
118829,101829
118890,101835
118937,101868
118948,101821
118918,101819
118947,101877
119023,101876
118996,101901
119051,101893
119005,101835
119044,101886
119056,101913
119098,101926
119069,101914
119092,101875
119086,101919
119150,101955
119152,101942
119115,101938
119126,101932
119134,101928
119198,101972
119200,101963
119154,101960
119158,101896
119195,101953
119224,102008
119237,102009
119223,101966
119208,101931
119270,101952
119276,102036
119292,101998
119305,101995
119308,101978
119340,102000
119398,102047
119388,102040
119390,102065
119381,101991
119450,102072
119501,102099
119485,102086
119524,102112
119478,102073
119560,102120
119568,102119
119593,102119
119519,102100
119515,102067
119497,102102
119456,102045
119305,101985
119037,101880
118702,101700
118397,101577
118001,101415
117615,101262
117169,101083
116751,100926
116492,100841
116223,100744
116007,100668
115852,100585
115621,100473
115568,100485
115478,100478
115370,100412
115245,100363
115164,100322
115167,100330
115136,100330
115108,100330
115029,100273
115033,100264
115076,100305
115080,100319
115083,100291
115084,100327
115099,100292
115217,100361
115261,100391
115280,100403
115299,100412
115340,100424
115440,100478
115484,100506
115547,100509
115556,100513
115582,100507
115708,100598
115810,100614
115802,100608
115836,100660
115874,100625
115947,100700
116028,100686
115990,100721
116040,100694
116059,100698
116114,100747
116149,100771
116170,100777
116181,100738
116195,100776
116251,100799
116290,100840
116343,100845
116357,100882
116385,100844
116482,100902
116556,100941
116562,100968
116623,100960
116655,100936
116774,101015
116815,101055
116828,101058
116824,101021
116826,101028
116908,101089
116888,101089
116906,101051
116832,101032
116844,101026
116862,101048
116821,101048
116827,101040
116754,100975
116719,100975
116789,101045
116769,101031
116720,100998
116689,100944
116668,100933
116652,100987
116628,100991
116635,100963
116618,100923
116583,100903
116636,100954
116632,100943
116657,100951
116569,100911
116579,100918
116643,100960
116652,100986
116675,100993
116683,100950
116705,100970
116769,101032
116771,101025
116800,101027
116798,101017
116836,101053
116902,101061
116900,101085
116928,101093
116936,101085
116957,101091
117064,101119
117068,101144
117101,101133
117080,101127
117138,101176
117201,101203
117255,101216
117263,101224
117225,101186
117344,101228
