ir,red
110656,98767
110658,98700
110584,98677
110755,98800
110841,98782
110743,98827
110738,98723
110682,98713
110739,98815
110725,98810
110680,98724
110525,98689
110386,98557
110448,98617
110341,98621
110138,98511
110026,98358
109808,98317
109860,98329
109711,98305
109520,98226
109362,98079
109295,98019
109260,98053
109176,98071
109090,97956
108955,97872
108823,97826
108845,97915
108804,97818
108702,97836
108568,97735
108554,97699
108553,97736
108587,97790
108459,97733
108442,97651
108381,97670
108426,97702
108445,97712
108427,97723
108326,97630
108353,97656
108424,97744
108434,97709
108435,97704
108344,97690
108321,97628
108518,97760
108497,97769
108427,97739
108424,97636
108377,97698
108532,97750
108556,97808
108537,97725
108512,97680
108532,97697
108617,97840
108684,97806
108659,97833
108595,97757
108686,97815
108830,97920
108849,97929
108877,97926
108804,97879
108873,97879
109053,98026
109008,98017
109048,97981
108979,97950
109071,97992
109165,98074
109135,98043
109102,98042
109094,97953
109111,98036
109232,98060
109148,98077
109167,98041
109124,97976
109103,98021
109239,98068
109156,98053
109159,97996
109111,97954
109151,98008
109251,98031
109175,98060
109190,97972
109125,97945
109110,98013
109208,98025
109250,98055
109207,98018
109065,97970
109181,97982
109282,98115
109230,98020
109254,98070
109139,97968
109287,98090
109314,98129
109355,98103
109317,98070
109266,98020
109386,98137
109444,98118
109492,98156
109419,98166
109395,98124
109511,98150
109612,98258
109641,98217
109655,98253
109559,98187
109711,98208
109744,98290
109809,98309
109834,98312
109752,98290
109847,98337
109973,98350
109977,98413
109954,98383
109902,98360
110018,98427
110086,98450
110124,98473
110155,98445
110106,98405
110251,98486
110353,98585
110276,98570
110353,98561
110245,98467
110408,98583
110453,98594
110452,98617
110447,98571
110405,98559
110584,98619
110595,98700
110666,98687
110623,98663
110560,98599
110763,98688
110810,98801
110775,98737
110813,98775
110729,98668
110922,98813
110937,98821
110976,98806
110966,98795
110920,98765
111081,98857
111132,98944
111143,98879
111182,98894
111038,98834
111234,98976
111271,99005
111256,98926
111246,98977
111234,98870
111343,99017
111453,99083
111383,99021
111431,98993
111349,98931
111478,99075
111575,99098
111493,99075
111599,99057
111470,99027
111564,99096
111591,99142
111595,99040
111445,99020
111305,98908
111357,98978
111266,98953
111037,98814
110924,98703
110617,98555
110622,98622
110507,98559
110250,98424
110149,98348
109879,98230
109914,98303
109794,98245
109683,98134
109587,98081
109397,98025
109451,98081
109398,97998
109277,97972
109190,97922
109033,97857
109137,97929
109085,97925
109012,97925
108937,97815
108894,97798
108959,97838
108955,97894
108932,97805
108917,97791
108862,97793
108959,97892
108975,97870
108892,97830
108867,97794
108848,97790
108956,97843
108987,97860
108990,97886
108893,97861
108891,97799
109045,97891
109065,97953
109005,97917
108984,97907
109003,97838
109078,97990
109185,97987
109122,97990
109114,97972
109100,97894
109281,98015
109320,98084
109281,98050
109329,98002
109348,98046
109448,98082
109496,98190
109491,98101
109429,98100
109468,98115
109583,98195
109636,98196
109539,98176
109462,98096
109452,98125
109550,98153
109591,98146
109537,98172
109494,98060
109460,98120
109582,98169
109525,98160
109486,98114
109454,98072
109431,98061
109567,98138
109573,98131
109469,98069
109396,98028
109423,98022
109485,98110
109469,98160
109497,98099
109403,97972
109426,98061
109495,98117
109569,98157
109459,98112
109465,98037
109490,98088
109525,98158
109571,98183
109602,98150
109546,98090
109578,98131
109688,98241
109680,98199
109698,98244
109680,98143
109667,98212
109799,98294
109831,98267
109843,98251
109812,98235
109837,98232
109959,98369
110013,98336
109939,98339
109913,98297
109961,98301
110120,98432
110097,98392
110119,98376
110042,98359
110070,98365
110240,98443
110190,98485
110250,98385
110176,98356
110211,98452
110294,98486
110324,98519
110306,98442
110251,98437
110334,98494
110366,98528
110394,98505
110409,98462
110325,98424
110406,98558
110488,98576
110519,98536
110495,98568
110420,98456
110513,98609
110639,98621
110619,98597
110577,98611
110519,98511
110596,98616
110678,98662
110727,98697
110677,98666
110636,98577
110762,98675
110817,98778
110832,98676
110810,98738
110733,98662
110894,98719
110932,98839
110918,98714
110948,98721
110819,98705
110953,98758
111026,98801
110967,98767
110998,98791
110883,98664
110952,98812
110949,98790
110916,98722
110809,98679
110647,98548
110650,98579
110550,98522
110395,98509
110289,98363
109984,98240
110034,98297
109969,98286
109765,98176
109658,98125
109463,97969
109428,98006
109424,98014
109249,97924
109116,97903
108980,97781
109025,97863
109022,97853
108840,97746
108837,97758
108675,97618
108762,97719
108748,97755
108711,97688
108607,97675
108521,97568
108637,97631
108656,97678
108655,97698
108586,97670
108466,97561
108604,97712
108669,97680
108635,97702
108555,97660
108462,97618
108656,97679
108641,97744
108682,97704
108638,97694
108536,97638
108685,97688
108719,97713
108729,97772
108726,97677
108656,97671
108751,97755
108839,97853
108826,97793
108823,97757
108801,97717
108944,97851
108971,97883
108988,97841
108987,97867
108978,97794
109081,97940
109140,97962
109152,97917
109111,97910
109113,97902
109198,97963
