ir,red
107707,97864
107723,97857
107723,97897
107719,97887
107742,97898
107739,97896
107754,97924
107761,97909
107784,97919
107766,97892
107809,97921
107802,97923
107828,97930
107823,97959
107877,97948
107872,97962
107924,97994
107927,97988
107980,97978
107991,98005
107998,98017
108029,98032
108047,98035
108086,98043
108091,98042
108104,98054
108125,98078
108176,98093
108166,98083
108204,98107
108196,98101
108235,98117
108267,98133
108254,98107
108274,98139
108331,98138
108321,98158
108354,98168
108360,98179
108396,98190
108408,98189
108419,98205
108471,98208
108471,98208
108458,98186
108524,98215
108548,98207
108564,98231
108560,98233
108588,98253
108609,98262
108632,98247
108667,98256
108659,98298
108684,98294
108716,98291
108736,98303
108741,98298
108761,98316
108805,98316
108777,98332
108803,98342
108826,98374
108828,98376
108854,98372
108914,98397
108910,98411
108897,98379
108946,98373
108954,98417
108971,98425
108988,98426
108969,98425
108976,98420
108969,98400
108935,98389
108903,98409
108853,98387
108781,98356
108721,98277
108626,98223
108495,98193
108432,98161
108348,98093
108218,98051
108144,98016
108015,97979
107940,97933
107840,97911
107729,97872
107674,97830
107544,97803
107497,97770
107420,97735
107360,97691
107265,97705
107225,97643
107194,97633
107068,97614
107085,97617
107046,97607
107024,97594
106996,97602
107002,97619
106970,97597
106967,97594
107002,97594
106967,97584
107010,97595
107026,97622
107026,97613
107038,97638
107065,97636
107070,97633
107111,97653
107112,97662
107153,97670
107144,97673
107204,97682
107230,97701
107199,97694
107232,97745
107251,97762
107261,97764
107318,97765
107382,97762
107373,97758
107400,97781
107460,97795
107485,97809
107535,97848
107548,97858
107596,97842
107627,97875
107662,97907
107717,97907
107764,97940
107788,97941
107796,97957
107836,97959
107889,97963
107861,97990
107895,97988
107935,97996
107941,98017
107936,97987
107942,97994
107987,98026
107971,98023
107979,98005
107968,98001
107993,98015
107965,98018
107985,98017
107989,98026
107963,98025
107983,98012
107984,97990
107958,98025
107988,98008
107988,98000
107980,98032
107971,97977
108005,98006
107974,97999
107965,97998
107982,98025
107993,98020
108000,97997
107989,98000
107999,98001
108016,98037
108018,98062
108054,98065
108055,98064
108021,98048
108076,98051
108093,98040
108104,98057
108089,98097
108144,98107
108163,98072
108191,98106
108188,98107
108220,98115
108251,98129
108259,98123
108286,98138
108302,98151
108328,98176
108327,98162
108389,98171
108404,98207
108406,98208
108463,98188
108441,98193
108475,98238
108462,98242
108520,98225
108541,98244
108574,98249
108606,98270
108619,98263
108650,98281
108699,98284
108708,98298
108697,98320
108713,98316
108749,98326
108763,98343
108780,98358
108815,98361
108823,98350
108858,98382
108872,98387
108876,98382
108903,98395
108905,98399
108909,98402
108957,98396
108985,98437
108991,98434
109022,98419
109052,98448
109018,98443
109089,98480
109098,98461
109108,98478
109163,98501
109182,98490
109186,98489
109200,98517
109194,98538
109221,98530
109243,98536
109259,98541
109292,98563
109297,98550
109291,98572
109311,98560
109301,98550
109273,98545
109236,98515
109206,98514
109159,98490
109060,98439
108992,98407
108902,98352
108821,98332
108729,98280
108602,98242
108500,98204
108408,98139
108321,98121
108208,98090
108127,98043
108016,98015
107937,97952
107874,97908
107804,97890
107712,97905
107657,97851
107591,97836
107527,97796
107511,97781
107464,97802
107405,97757
107384,97764
107375,97738
107374,97734
107352,97739
107317,97747
107356,97730
107352,97744
107348,97766
107347,97777
107385,97758
107398,97774
107388,97775
107429,97773
107448,97796
107462,97776
107514,97832
107514,97821
107523,97856
107582,97862
107588,97858
107632,97861
107647,97883
107662,97907
107718,97922
107770,97941
107776,97955
107825,97948
107864,97973
107890,97990
107915,97999
107948,98017
107987,98005
108043,98054
108064,98077
108122,98078
108128,98090
108204,98103
108204,98121
108249,98126
108277,98138
108265,98167
108293,98174
108352,98168
108336,98179
108357,98179
108357,98175
108368,98195
108384,98176
108383,98209
108376,98164
108403,98211
108407,98192
108398,98204
108397,98192
108380,98210
108396,98170
108411,98179
108404,98169
108410,98153
108385,98169
108406,98180
108394,98188
108370,98197
108382,98189
108411,98150
108419,98186
108412,98186
108436,98199
108434,98226
108423,98195
108447,98211
108450,98210
108478,98206
108496,98230
108502,98239
108506,98251
108525,98249
108575,98256
108551,98267
108594,98272
108608,98281
108607,98297
108616,98302
108679,98299
108661,98319
108686,98326
108698,98346
108723,98309
108710,98349
108774,98331
108820,98372
108795,98379
108807,98359
108852,98394
108849,98409
108908,98395
108916,98408
108929,98429
108933,98422
108960,98453
108979,98456
109023,98439
109030,98473
109047,98494
109073,98490
109077,98481
109114,98504
109133,98498
109148,98513
109160,98543
109216,98540
109186,98527
109242,98538
109266,98548
109299,98562
109261,98589
109324,98592
109342,98602
109340,98609
109377,98576
109396,98624
109409,98632
109428,98623
109467,98633
109457,98634
109467,98655
109489,98663
109549,98708
109567,98697
109593,98714
109591,98676
109606,98699
109659,98697
109658,98713
109672,98741
109664,98705
109690,98752
109725,98737
109690,98739
109672,98728
109675,98725
109614,98698
109551,98686
109500,98688
109401,98628
109325,98572
109257,98522
109150,98495
109075,98456
108937,98406
108848,98376
108784,98320
108668,98298
108587,98250
108517,98214
108420,98194
108341,98171
108252,98114
108190,98080
108129,98074
108042,98030
108012,98032
107965,98001
107913,97991
107845,97952
107841,97932
107767,97946
107763,97926
107743,97936
107735,97928
107704,97933
107724,97908
107697,97909
107712,97932
107735,97906
107720,97914
107735,97944
107767,97950
107762,97943
107793,97952
107830,97982
107852,97995
107850,97976
107884,97991
107891,98022
107915,98008
107937,98029
107972,98040
107962,98046
108018,98009
108016,98065
108054,98085
108074,98064
108122,98096
108133,98127
108162,98128
108224,98135
108243,98155
108289,98182
108324,98175
108341,98201
108359,98212
108399,98216
108444,98226
108472,98225
108498,98251
108515,98265
108528,98272
108543,98258
108557,98289
108562,98288
108580,98281
108589,98278
108587,98267
108605,98272
108552,98294
108607,98302
108587,98310
108598,98280
108601,98271
108590,98295
108567,98282
108587,98288
108581,98285
108573,98307
108599,98265
108562,98270
108573,98255
108557,98273
108576,98283
108574,98291
108595,98264
108615,98260
108586,98281
108619,98282
108613,98284
108598,98291
108628,98311
108669,98298
108685,98292
108699,98286
108693,98341
108712,98351
108741,98357
108735,98352
108766,98374
108776,98355
108814,98380
108813,98362
108832,98382
108850,98406
108880,98426
108912,98442
108944,98445
108947,98460
109000,98419
108992,98465
108998,98475
109042,98473
109091,98510
109052,98512
109096,98505
109118,98510
109140,98537
109181,98549
109171,98542
109188,98572
109230,98576
109277,98587
109284,98606
109304,98601
109321,98595
109336,98594
109362,98617
109360,98617
109401,98625
109410,98649
109425,98665
109466,98669
109485,98688
109527,98699
109547,98675
109550,98678
109572,98692
109574,98703
109590,98727
109621,98730
109621,98738
109684,98719
109693,98732
109714,98763
109707,98780
109726,98774
109774,98800
109777,98786
109795,98839
109849,98798
109843,98827
109874,98837
109876,98844
109896,98842
109940,98866
109925,98861
109962,98858
109971,98869
109965,98873
109990,98887
109986,98895
110000,98877
109996,98875
109938,98859
109903,98864
109818,98795
109784,98795
109700,98742
109575,98718
109532,98666
109421,98650
109309,98583
109239,98542
